Algorithm,EnvironmentSeed,AlgorithmSeed,J,EnergyWh,TimeS,DynamicRisk,Pheight,Pstatic,Pdynamic,PNFZ,Pbattery,Feasible
Greedy,483,600,3415.38837842326,45.6144575936359,176.42408284087,0.554166886235424,30.4141948742511,2.42156991090662,0.632518796992481,0.000550488191140902,0,0
Greedy,483,653,3415.38837842326,45.6144575936359,176.42408284087,0.554166886235424,30.4141948742511,2.42156991090662,0.632518796992481,0.000550488191140902,0,0
Greedy,638,702,2084.78885099314,28.5255429127644,185.74587336343,0.14877727678187,18.2498638416961,2.20312298361079,0,0,0,0
Greedy,638,755,2084.78885099314,28.5255429127644,185.74587336343,0.14877727678187,18.2498638416961,2.20312298361079,0,0,0,0
Greedy,638,808,2084.78885099314,28.5255429127644,185.74587336343,0.14877727678187,18.2498638416961,2.20312298361079,0,0,0,0
Greedy,855,919,3257.16287616287,60.2310654185118,221.607729915636,0.169580331654052,29.1659206702366,2.12475224453506,0.507462686567164,0,0,0
Greedy,855,972,3257.16287616287,60.2310654185118,221.607729915636,0.169580331654052,29.1659206702366,2.12475224453506,0.507462686567164,0,0,0
Greedy,855,1025,3257.16287616287,60.2310654185118,221.607729915636,0.169580331654052,29.1659206702366,2.12475224453506,0.507462686567164,0,0,0
Greedy,948,1012,1964.11031107229,84.2653519525091,343.809684746618,0.995557950269208,16.0427209784832,2.44633469329761,0,0,0,0
Greedy,948,1065,1964.11031107229,84.2653519525091,343.809684746618,0.995557950269208,16.0427209784832,2.44633469329761,0,0,0,0
Greedy,948,1118,1964.11031107229,84.2653519525091,343.809684746618,0.995557950269208,16.0427209784832,2.44633469329761,0,0,0,0
Greedy,1041,1105,4050.79120984772,47.7124549074291,201.339193623177,0.289456287744071,36.4331072695913,3.43018225735617,0,0,0,0
Greedy,1041,1158,4050.79120984772,47.7124549074291,201.339193623177,0.289456287744071,36.4331072695913,3.43018225735617,0,0,0,0
Greedy,1041,1211,4050.79120984772,47.7124549074291,201.339193623177,0.289456287744071,36.4331072695913,3.43018225735617,0,0,0,0
Greedy,1103,1167,12404.3605676054,73.3557602709893,398.980846558556,1.58546569199948,121.833365423306,1.07737617135207,0,0,0,0
Greedy,1103,1220,12404.3605676054,73.3557602709893,398.980846558556,1.58546569199948,121.833365423306,1.07737617135207,0,0,0,0
Greedy,1103,1273,12404.3605676054,73.3557602709893,398.980846558556,1.58546569199948,121.833365423306,1.07737617135207,0,0,0,0
Greedy,1227,1291,2642.88389800723,91.2665909277939,322.980945528682,1.1780839634881,23.2657524770973,1.93263892150962,0,0,0,0
Greedy,1227,1344,2642.88389800723,91.2665909277939,322.980945528682,1.1780839634881,23.2657524770973,1.93263892150962,0,0,0,0
Greedy,1227,1397,2642.88389800723,91.2665909277939,322.980945528682,1.1780839634881,23.2657524770973,1.93263892150962,0,0,0,0
Greedy,1475,1539,9284.10829985125,79.5436443089229,225.446828237379,0.157119404644307,87.808427942841,2.61208017785979,1.26116220735786,0,0,0
Greedy,1475,1592,9284.10829985125,79.5436443089229,225.446828237379,0.157119404644307,87.808427942841,2.61208017785979,1.26116220735786,0,0,0
Greedy,1475,1645,9284.10829985125,79.5436443089229,225.446828237379,0.157119404644307,87.808427942841,2.61208017785979,1.26116220735786,0,0,0
Greedy,2312,2376,8274.11315066841,76.4699880573946,246.043175503947,0.289905173286125,78.5357967380375,3.11835993188241,0,0,0,0
Greedy,2312,2429,8274.11315066841,76.4699880573946,246.043175503947,0.289905173286125,78.5357967380375,3.11835993188241,0,0,0,0
Greedy,2312,2482,8274.11315066841,76.4699880573946,246.043175503947,0.289905173286125,78.5357967380375,3.11835993188241,0,0,0,0
Greedy,2560,2624,2137.23226614169,55.7361204853682,205.004303151231,0.175074911746939,18.5887773273004,2.03268160258659,0,0,0,0
Greedy,2560,2677,2137.23226614169,55.7361204853682,205.004303151231,0.175074911746939,18.5887773273004,2.03268160258659,0,0,0,0
Greedy,2560,2730,2137.23226614169,55.7361204853682,205.004303151231,0.175074911746939,18.5887773273004,2.03268160258659,0,0,0,0
