ConfigID,ConfigName,VariedComponent,Multiplier,Algorithm,SuccessfulPaths,FeasibleCount,FeasibilityPct,MedianJ,Q1J,Q3J,MedianEnergyWh,MedianFlightTimeS,MedianDynamicRisk,MedianPenalty,MedianPlanningTimeS
8,Risk 0.5x,Risk,0.5,Informed-RRT*,10,2,20,64.2636516398282,29.6441985798397,193.500467987438,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
8,Risk 0.5x,Risk,0.5,ST-EA*,6,6,60,10.3855899158249,9.27931080557809,11.3173382004205,8.69139558944827,80.8576118683533,0.00377452637978895,0,2.94287235
8,Risk 0.5x,Risk,0.5,Greedy,10,0,0,3334.46625924834,2261.51603823466,7216.83370070373,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
9,Risk 1.5x,Risk,1.5,RA-ALA,10,9,90,13.742093207668,10.8604662519594,18.3510364691103,9.67901193995798,94.6971195002911,0.00262935306100026,0,214.4455735
9,Risk 1.5x,Risk,1.5,Energy-A*,10,4,40,25.9291010963954,16.2376024889153,103.695180149586,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
9,Risk 1.5x,Risk,1.5,Informed-RRT*,10,2,20,64.8374484533324,29.8047303224095,193.614198689533,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
9,Risk 1.5x,Risk,1.5,ST-EA*,6,6,60,10.5893228920979,9.39891765877714,11.3081718633258,8.95385706887906,81.3713371450694,0.000964425012117913,0,2.98650815
9,Risk 1.5x,Risk,1.5,Greedy,10,0,0,3338.08499533779,2265.77430998149,7219.73163022274,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
10,Penalty 0.5x,Penalty,0.5,RA-ALA,10,8,80,15.9000747208177,10.9597038212473,16.8747637341419,10.140369955523,96.6711659534009,0.00446707510554011,0,216.20058575
10,Penalty 0.5x,Penalty,0.5,Energy-A*,10,4,40,20.1847064172983,13.4518703703914,56.858617424182,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
10,Penalty 0.5x,Penalty,0.5,Informed-RRT*,10,2,20,37.9363164912477,22.6352328621476,101.167788484127,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
10,Penalty 0.5x,Penalty,0.5,ST-EA*,6,6,60,10.5687954968708,9.38302604216335,11.3095127683421,8.93244545831562,81.0779586554486,0.00096353155560189,0,3.084756
10,Penalty 0.5x,Penalty,0.5,Greedy,10,0,0,1704.60138550106,1175.36057175473,3657.96067125439,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
11,Penalty 1.5x,Penalty,1.5,RA-ALA,10,8,80,16.5920464232257,11.1742539188808,20.9352962874087,10.4602453669315,98.0775402775712,0.00462231627777531,0,217.16839425
11,Penalty 1.5x,Penalty,1.5,Energy-A*,10,4,40,33.6874543538976,14.6467526482239,149.241684012338,8.88758386493511,83.7098819423087,0.00615302957043452,0.158925124922644,4.40128525
11,Penalty 1.5x,Penalty,1.5,Informed-RRT*,10,2,20,91.3879958259576,36.7020899280792,285.946878192843,9.25569371172281,96.3549798622731,0.0144379347095075,0.536748915587546,15.07274125
11,Penalty 1.5x,Penalty,1.5,ST-EA*,6,6,60,10.5687954968708,9.38302604216335,11.3095127683421,8.93244545831562,81.0779586554486,0.00096353155560189,0,3.08036405
11,Penalty 1.5x,Penalty,1.5,Greedy,10,0,0,4967.94986908507,3351.92977646143,10778.6046596721,66.7934128447506,223.527279076508,0.289680730515098,32.6334848358401,0.123593
