environment_id,env_seed,run_within_environment,algorithm_seed,algorithm,wall_clock_s,evaluatePath_calls,search_fitness_calls,rescueA_adopted,rescueB_adopted,search_time_s,topk_time_s,recovery_time_s,actual_iterations_or_nodes,planner_success,budget_reached,timed_out,exception,path_points,J,penalty_total,final_feasible,failure_reason
4,948,1,1056,Greedy,0.1216913,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,1964.11031107229,18.4890556717808,0,final_hard_constraint_violation
4,948,2,1065,RA-ALA,204.695391,17877,3240,0,0,186.4855093,0.829494,0,80,1,1,0,0,79,12.9931592340415,0,1,none
4,948,2,1076,Energy-A*,15.0070677,14637,0,0,0,NaN,NaN,NaN,1086,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
4,948,2,1087,Informed-RRT*,15.1159723,7158,0,0,0,NaN,NaN,NaN,998,1,1,1,0,36,80.7146612155905,0.65,0,timeout_without_feasible_output
4,948,2,1098,ST-EA*,2.0814068,1969,0,0,0,NaN,NaN,NaN,83,1,0,0,0,55,13.4536070337272,0,1,none
4,948,2,1109,Greedy,0.1249532,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,1964.11031107229,18.4890556717808,0,final_hard_constraint_violation
4,948,3,1118,RA-ALA,217.0170263,17396,3240,0,0,198.6853301,0.8724946,0,80,1,1,0,0,10,15.5539349013459,0,1,none
4,948,3,1129,Energy-A*,15.0040562,14583,0,0,0,NaN,NaN,NaN,1082,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
4,948,3,1140,Informed-RRT*,15.1200384,7312,0,0,0,NaN,NaN,NaN,964,1,1,1,0,35,31.9429763495697,0.172413793103448,0,timeout_without_feasible_output
4,948,3,1151,ST-EA*,2.0280001,1969,0,0,0,NaN,NaN,NaN,83,1,0,0,0,55,13.4536070337272,0,1,none
4,948,3,1162,Greedy,0.1252823,1,0,0,0,NaN,NaN,NaN,1,1,0,0,0,48,1964.11031107229,18.4890556717808,0,final_hard_constraint_violation
5,1041,1,1105,RA-ALA,258.1877125,17449,3240,0,0,240.059606,0.6660623,0,80,1,1,0,0,92,12.5052171114718,0,1,none
5,1041,1,1116,Energy-A*,15.0708839,14268,0,0,0,NaN,NaN,NaN,1081,1,1,1,0,56,326.947438631726,3.16135600030616,0,timeout_without_feasible_output
5,1041,1,1127,Informed-RRT*,15.0003075,10049,0,0,0,NaN,NaN,NaN,940,0,1,1,0,2,NaN,NaN,0,timeout_without_feasible_output
