case_id,environment_id,environment_seed,run_within_environment,algorithm_seed,spacing_m,J,energy_Wh,arrival_time_s,dynamic_risk,penalty_total,penalty_static,penalty_scene_entry,penalty_nfz,feasible,static_violation,scene_entry_violation,nfz_violation,evaluation_time_s,total_collision_subsamples,total_nfz_subsamples,path_points,run_status
15,5,1041,3,1211,3,99.6593631667728,9.6937333817275,113.979135328197,0,0.864535215013557,0.0365853658536587,0,0,0,1,0,0,0.0734885,549,549,10,ok
15,5,1041,3,1211,1.5,100.651839636703,9.69117119912609,114.029321392814,0,0.87448141936682,0.0429447852760735,0,0,0,1,0,0,0.146042,1093,1093,10,ok
15,5,1041,3,1211,0.75,100.175279269872,9.69148667919162,114.011664307467,0,0.869714132321639,0.039877300613497,0,0,0,1,0,0,0.2833925,2181,2181,10,ok
15,5,1041,3,1211,0.375,100.424475498266,9.69170866894255,114.013981689943,0,0.872203681592862,0.0414746543778801,0,0,0,1,0,0,0.5463766,4357,4357,10,ok
16,6,1103,1,1167,6,7.47182969472715,5.76829524692988,70.3231214654937,0.0128032056579451,0,0,0,0,1,0,0,0,0.0333733,234,234,79,ok
16,6,1103,1,1167,3,7.48876157833432,5.78269700871871,70.4682686370019,0.0129352618635212,0,0,0,0,1,0,0,0,0.0619048,459,459,79,ok
16,6,1103,1,1167,1.5,7.48880905257429,5.78109084669629,70.4790140670982,0.0130916709646797,0,0,0,0,1,0,0,0,0.1146945,852,852,79,ok
16,6,1103,1,1167,0.75,7.49221832334164,5.784049788273,70.5129852525987,0.0131083945624939,0,0,0,0,1,0,0,0,0.2150805,1637,1637,79,ok
16,6,1103,1,1167,0.375,7.49204745278954,5.78396440088901,70.5100441952871,0.0131022971267758,0,0,0,0,1,0,0,0,0.4076467,3210,3210,79,ok
17,6,1103,2,1220,6,7.10658266823309,5.53794886912671,70.7358849059408,0.00435498727406213,0,0,0,0,1,0,0,0,0.0290106,204,204,10,ok
17,6,1103,2,1220,3,7.13107300907213,5.56390006712991,70.6541925833613,0.00427697849312883,0,0,0,0,1,0,0,0,0.0549097,404,404,10,ok
17,6,1103,2,1220,1.5,7.12572625818412,5.55950095592525,70.5977424348501,0.00422925631522015,0,0,0,0,1,0,0,0,0.1090938,803,803,10,ok
17,6,1103,2,1220,0.75,7.13738307902341,5.56895781893055,70.7514205904272,0.00432118696897065,0,0,0,0,1,0,0,0,0.2104817,1602,1602,10,ok
17,6,1103,2,1220,0.375,7.13758240082297,5.56916029120798,70.751464556419,0.00432083528285767,0,0,0,0,1,0,0,0,0.4041227,3198,3198,10,ok
18,6,1103,3,1273,6,8.42357579964968,6.10005088600804,70.5211837707045,0.0125273980269616,0,0,0,0,1,0,0,0,0.0281575,204,204,10,ok
18,6,1103,3,1273,3,8.45036301830207,6.12662931067888,70.6541259508748,0.0124374922749745,0,0,0,0,1,0,0,0,0.055243,406,406,10,ok
18,6,1103,3,1273,1.5,8.43783554692304,6.11405927992133,70.5105856701454,0.0125613651134354,0,0,0,0,1,0,0,0,0.1098853,807,807,10,ok
18,6,1103,3,1273,0.75,8.44108563305448,6.11752407208882,70.5552404653062,0.0125026821805292,0,0,0,0,1,0,0,0,0.2193217,1610,1610,10,ok
18,6,1103,3,1273,0.375,8.44143029116554,6.11783616456727,70.559733378722,0.0125021946492768,0,0,0,0,1,0,0,0,0.4105764,3214,3214,10,ok
19,7,1227,1,1291,6,14.3157033967305,9.49958235345438,98.1171261188622,0.000886043198253846,0,0,0,0,1,0,0,0,0.0364738,219,219,10,ok
19,7,1227,1,1291,3,14.3543139422072,9.53449759755992,98.486294972211,0.000947932624246191,0,0,0,0,1,0,0,0,0.0664533,435,435,10,ok
19,7,1227,1,1291,1.5,14.3677428100491,9.54750408243367,98.5989883880694,0.00089625974117488,0,0,0,0,1,0,0,0,0.1352809,867,867,10,ok
