case_id,environment_id,environment_seed,run_within_environment,algorithm_seed,spacing_m,J,energy_Wh,arrival_time_s,dynamic_risk,penalty_total,penalty_height,penalty_static,penalty_dynamic,penalty_nfz,feasible,static_violation,dynamic_violation,nfz_violation,total_subsamples,evaluation_time_s,status
9,3,638,3,808,3,162.365915734555,13.2246400081657,117.101650852322,0.0196319034073465,1.43884071988373,1.41661849766151,0.0222222222222222,0,0,0,1,0,0,441,0.0285699,ok
9,3,638,3,808,1.5,169.832017010564,13.4684789026126,117.249824257143,0.0206298882168299,1.51095119743467,1.40188915542197,0.0221055202735711,0.0869565217391304,0,0,1,1,0,878,0.0569616,ok
9,3,638,3,808,0.75,174.220107845034,13.4904963998214,117.82688169928,0.0217662199257702,1.5544502095162,1.40190990663394,0.0221055202735711,0.130434782608696,0,0,1,1,0,1753,0.1109871,ok
10,4,855,1,919,3,22.3762493187861,15.1987913759941,115.858173619267,0.014434010329114,0.000231318083341045,0.000231318083341045,0,0,0,0,0,0,0,534,0.0353664,ok
10,4,855,1,919,1.5,22.2936224195823,15.1087322565238,116.154273834527,0.0149005383995077,0.000234312461027595,0.000234312461027595,0,0,0,0,0,0,0,1063,0.069739,ok
10,4,855,1,919,0.75,22.3868485012725,15.1878695045723,116.427618510808,0.0147636269401718,0.000366113220355603,0.000366113220355603,0,0,0,0,0,0,0,2122,0.1342194,ok
11,4,855,2,972,3,10.9201937742521,8.61892160185714,92.7378050029403,0.005449816287702,0,0,0,0,0,1,0,0,0,455,0.0297377,ok
11,4,855,2,972,1.5,11.0717804667502,8.76522222789165,93.2749509593138,0.00553080130375539,0,0,0,0,0,1,0,0,0,905,0.0571807,ok
11,4,855,2,972,0.75,11.1119901731482,8.80732973755337,93.0431009387613,0.00553422932783779,0,0,0,0,0,1,0,0,0,1805,0.113968,ok
12,4,855,3,1025,3,14.4426838390826,9.32932486620561,82.0347635596015,0.0199172856482326,0,0,0,0,0,1,0,0,0,440,0.0288392,ok
12,4,855,3,1025,1.5,14.5863649240276,9.4780656143212,82.2439228424634,0.0192370199287814,0,0,0,0,0,1,0,0,0,874,0.0564313,ok
12,4,855,3,1025,0.75,14.5937615186381,9.48280395063426,82.464161659405,0.0193193134110745,0,0,0,0,0,1,0,0,0,1742,0.1087632,ok
13,5,1041,1,1105,3,12.9333529281565,9.15300890967989,92.6111121040405,0,0,0,0,0,0,1,0,0,0,502,0.0324224,ok
13,5,1041,1,1105,1.5,13.2717585564917,9.48092826598431,93.8694647477289,0,0,0,0,0,0,1,0,0,0,952,0.0599465,ok
13,5,1041,1,1105,0.75,13.0880582893453,9.3051287287247,92.9213771613158,0,0,0,0,0,0,1,0,0,0,1860,0.1176806,ok
14,5,1041,2,1158,3,14.9604011954575,11.2799483455944,102.393678216011,0,0,0,0,0,0,1,0,0,0,564,0.0380042,ok
14,5,1041,2,1158,1.5,14.8382508836335,11.1588769636633,102.264206628869,0,0,0,0,0,0,1,0,0,0,1064,0.0688217,ok
14,5,1041,2,1158,0.75,14.8337791065765,11.1537974076198,102.337140107246,0,0,0,0,0,0,1,0,0,0,2069,0.132059,ok
15,5,1041,3,1211,3,108.567327403428,9.04314735351209,95.0644134604392,0,0.957820775480665,0.853654108813998,0.104166666666667,0,0,0,1,0,0,472,0.0306306,ok
15,5,1041,3,1211,1.5,109.078368257654,9.40743753364228,97.2230159214533,0,0.959108398683202,0.853845240788465,0.105263157894737,0,0,0,1,0,0,940,0.0601638,ok
15,5,1041,3,1211,0.75,108.329053560596,9.29313595106972,95.978012333542,0,0.952862017837342,0.852862017837342,0.1,0,0,0,1,0,0,1875,0.1181732,ok
16,6,1103,1,1167,3,8.37503105341571,6.32733333525573,60.1590837383418,0.0214426297449181,0,0,0,0,0,1,0,0,0,399,0.0268508,ok
16,6,1103,1,1167,1.5,8.3529896907876,6.30693305203981,60.1415470994175,0.0212931356694701,0,0,0,0,0,1,0,0,0,793,0.0502522,ok
16,6,1103,1,1167,0.75,8.35579676336157,6.31084638802148,60.0993401520665,0.0212176817848252,0,0,0,0,0,1,0,0,0,1583,0.0997249,ok
17,6,1103,2,1220,3,7.55804864882086,6.04554709230118,58.6458040620222,0.00920879584626961,0,0,0,0,0,1,0,0,0,405,0.026866,ok
